x1,x2,x3,u,x,y,yref,phiref,rref,deltaref
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0296,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0592,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0888,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1184,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.17760000000000004,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20720000000000005,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.23680000000000007,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2664000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2960000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3256000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3552000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.38480000000000014,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.41440000000000016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4440000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4736000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5032000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5328000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5624000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5920000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6216,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6512,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6808,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7103999999999999,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7399999999999999,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7695999999999998,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7991999999999998,0.0,0.0,0.0,0.0,0.0
